ts,price,signal,is_entry,is_exit,qty,pnl,equity
2025-04-10 18:04:00,79486.336348,0,False,False,0.0,0.0,0.0
2025-04-10 18:05:00,79565.495571,0,False,False,0.0,0.0,0.0
2025-04-10 18:06:00,79578.355929,0,False,False,0.0,0.0,0.0
2025-04-10 18:07:00,79600.648952,0,False,False,0.0,0.0,0.0
2025-04-10 18:08:00,79466.030633,0,False,False,0.0,0.0,0.0
2025-04-10 18:09:00,79370.346176,0,False,False,0.0,0.0,0.0
2025-04-10 18:10:00,79422.450963,0,False,False,0.0,0.0,0.0
2025-04-10 18:11:00,79392.262222,0,False,False,0.0,0.0,0.0
2025-04-10 18:12:00,79385.532739,0,False,False,0.0,0.0,0.0
2025-04-10 18:13:00,79372.157908,0,False,False,0.0,0.0,0.0
2025-04-10 18:14:00,79232.764216,0,False,False,0.0,0.0,0.0
2025-04-10 18:15:00,79283.793168,0,False,False,0.0,0.0,0.0
2025-04-10 18:16:00,79252.233439,0,False,False,0.0,0.0,0.0
2025-04-10 18:17:00,79388.422198,0,False,False,0.0,0.0,0.0
2025-04-10 18:18:00,79408.126149,0,False,False,0.0,0.0,0.0
2025-04-10 18:19:00,79398.582495,0,False,False,0.0,0.0,0.0
2025-04-10 18:20:00,79549.903495,0,False,False,0.0,0.0,0.0
2025-04-10 18:21:00,79579.096671,0,False,False,0.0,0.0,0.0
2025-04-10 18:22:00,79622.961828,0,False,False,0.0,0.0,0.0
2025-04-10 18:23:00,79624.335895,-1,True,False,1.0,0.0,79624.335895
2025-04-10 18:24:00,79672.123761,1,True,True,1.0,-47.78786599999876,79576.548029
2025-04-10 18:25:00,79568.298979,1,False,False,1.0,-103.82478199999605,79472.723247
2025-04-10 18:26:00,79750.428907,1,False,False,1.0,78.30514599999879,79654.853175
2025-04-10 18:27:00,79728.139671,1,False,False,1.0,56.015910000001895,79632.563939
2025-04-10 18:28:00,79730.338793,1,False,False,1.0,58.21503200000734,79634.763061
2025-04-10 18:29:00,79684.576932,1,False,False,1.0,12.45317100000102,79589.0012
2025-04-10 18:30:00,79587.708827,1,False,False,1.0,-84.41493400000036,79492.133095
2025-04-10 18:31:00,79773.79202,1,False,False,1.0,101.66825899999822,79678.216288
2025-04-10 18:32:00,79755.940168,1,False,False,1.0,83.81640700000571,79660.364436
2025-04-10 18:33:00,79682.796443,1,False,False,1.0,10.672682000003988,79587.220711
2025-04-10 18:34:00,79567.528601,1,False,False,1.0,-104.59515999999712,79471.952869
2025-04-10 18:35:00,79567.528601,1,False,False,1.0,-104.59515999999712,79471.952869
