period,period_name,start_date,end_date,rows,initial_capital,net_pnl,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,trades_per_year,avg_hold_hours,total_volume_usd,avg_daily_volume,avg_hourly_volume,actual_trades,signal_flips
last_month,Last Month Only,2025-05-10 18:03:00,2025-06-09 18:03:00,43201,3095.43856125,158.39716787999987,5.117115547466589,1.0182000021636641,-12.076763269548696,48.27169028689941,70399.59257373026,0.12435188385758728,36669527.58294402,1222374.1774952402,50932.25739563501,5786,448
full_3mo,Full 3 Months,2025-04-10 18:02:00,2025-06-09 18:03:00,86402,2388.73007685,865.10565228,36.21613260803449,3.1652850464398106,-12.076763269548696,48.441207757139345,74345.27714441139,0.11779723426888143,71960266.23513135,1199351.6519703832,49972.98549876597,12221,893
prior_2mo,Prior 2 Months Only,2025-04-10 18:02:00,2025-05-10 18:02:00,43201,2388.73007685,710.9044710900002,29.760770292952678,5.820776136119383,-4.667368095207691,48.63141524105754,78235.2886707718,0.1118921721099015,35269038.2560839,1175689.0385842125,48987.043274342184,6430,443
