ts,price,signal,is_entry,is_exit,qty,pnl,equity,volume_usd
2025-05-10 18:05:00,103249.8128,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:06:00,103293.007719,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:07:00,103278.095487,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:08:00,103300.710917,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:09:00,103272.424948,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:10:00,103275.918962,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:11:00,103278.846393,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:12:00,103308.213601,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:13:00,103324.119858,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:14:00,103324.119858,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:15:00,103293.374353,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:16:00,103299.310527,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:17:00,103299.310527,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:18:00,103291.289037,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:19:00,103264.804601,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:20:00,103232.495617,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:21:00,103202.562098,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:22:00,103191.286176,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:23:00,103191.365299,0,False,False,0.0,0.0,0.0,0.0
2025-05-10 18:24:00,103181.285375,-1,True,False,0.03,0.0,3095.43856125,3095.43856125
2025-05-10 18:25:00,103201.209688,-1,False,False,0.03,-0.5977293899998767,3094.84083186,0.0
2025-05-10 18:26:00,103176.189337,-1,False,False,0.03,0.15288114000009953,3095.5914423900003,0.0
2025-05-10 18:27:00,103254.217736,-1,False,False,0.03,-2.1879708299999763,3093.25059042,0.0
2025-05-10 18:28:00,103254.217736,-1,False,False,0.03,-2.1879708299999763,3093.25059042,0.0
2025-05-10 18:29:00,103252.253032,-1,False,False,0.03,-2.129029709999595,3093.3095315400005,0.0
2025-05-10 18:30:00,103254.399998,0,False,True,0.03,-2.1934386899996023,3093.2451225600003,3097.63199994
2025-05-10 18:31:00,103241.932051,-1,True,False,0.03,0.0,3097.2579615299996,3097.2579615299996
2025-05-10 18:32:00,103221.81014,-1,False,False,0.03,0.6036573299998417,3097.8616188599995,0.0
2025-05-10 18:33:00,103071.784824,-1,False,False,0.03,5.104416809999821,3102.3623783399994,0.0
2025-05-10 18:34:00,103235.156113,-1,False,False,0.03,0.2032781399997475,3097.4612396699995,0.0
2025-05-10 18:35:00,103187.591694,-1,False,False,0.03,1.6302107099998102,3098.8881722399997,0.0
2025-05-10 18:36:00,103176.469056,-1,False,False,0.03,1.963889849999832,3099.2218513799994,0.0
2025-05-10 18:37:00,103075.621353,-1,False,False,0.03,4.989320940000034,3102.24728247,0.0
2025-05-10 18:38:00,103089.697078,0,False,True,0.03,4.5670491899999615,3101.8250107199997,3092.6909123399996
2025-05-10 18:39:00,103131.245,-1,True,False,0.03,0.0,3093.9373499999997,3093.9373499999997
2025-05-10 18:40:00,103079.565032,-1,False,False,0.03,1.550399039999902,3095.4877490399995,0.0
2025-05-10 18:41:00,103079.565032,-1,False,False,0.03,1.550399039999902,3095.4877490399995,0.0
2025-05-10 18:42:00,103153.796494,-1,False,False,0.03,-0.676544819999981,3093.26080518,0.0
2025-05-10 18:43:00,103153.796494,0,False,True,0.03,-0.676544819999981,3093.26080518,3094.6138948199996
2025-05-10 18:44:00,103165.142194,-1,True,False,0.03,0.0,3094.95426582,3094.95426582
2025-05-10 18:45:00,103165.142194,0,False,True,0.03,-0.0,3094.95426582,3094.95426582
2025-05-10 18:46:00,103176.026221,-1,True,False,0.03,0.0,3095.2807866299995,3095.2807866299995
2025-05-10 18:47:00,103177.995,0,False,True,0.03,-0.05906337000007625,3095.2217232599996,3095.33985
2025-05-10 18:48:00,103225.35666,-1,True,False,0.03,0.0,3096.7606998,3096.7606998
2025-05-10 18:49:00,103211.291376,-1,False,False,0.03,0.4219585200003348,3097.1826583200004,0.0
2025-05-10 18:50:00,103209.829002,-1,False,False,0.03,0.4658297400001902,3097.2265295400002,0.0
2025-05-10 18:51:00,103292.667139,-1,False,False,0.03,-2.0193143699997744,3094.7413854300003,0.0
2025-05-10 18:52:00,103286.39178,-1,False,False,0.03,-1.8310536000000137,3094.9296462,0.0
2025-05-10 18:53:00,103283.142726,-1,False,False,0.03,-1.7335819800000172,3095.02711782,0.0
2025-05-10 18:54:00,103296.931828,-1,False,False,0.03,-2.1472550399998727,3094.61344476,0.0
2025-05-10 18:55:00,103309.808499,-1,False,False,0.03,-2.533555170000036,3094.22714463,0.0
2025-05-10 18:56:00,103255.033296,1,True,True,0.03,-0.8902990799996768,3095.8704007200004,6195.30199776
2025-05-10 18:57:00,103256.499378,1,False,False,0.03,0.04398245999997016,3095.91438318,0.0
2025-05-10 18:58:00,103292.456496,1,False,False,0.03,1.1226960000001418,3096.9930967200007,0.0
2025-05-10 18:59:00,103262.684023,1,False,False,0.03,0.22952181000000563,3096.09992253,0.0
2025-05-10 19:00:00,103278.712528,1,False,False,0.03,0.7103769600002852,3096.5807776800007,0.0
2025-05-10 19:01:00,103244.397997,1,False,False,0.03,-0.31905897000004185,3095.55134175,0.0
