period,period_name,start_date,end_date,rows,initial_capital,net_pnl,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,trades_per_year,avg_hold_hours,total_volume_usd,avg_daily_volume,avg_hourly_volume,actual_trades,signal_flips
last_month,Last Month Only,2025-05-13 16:52:00,2025-06-12 16:52:00,43201,3116.748,127.0645114800036,4.07682980722226,3.589585670196,-4.62073079598091,40.0,26098.70827353118,0.3350971250971251,13681471.34434542,456070.1591707349,19002.92329878062,2145,26
full_3mo,Full 3 Months,2025-02-12 16:52:00,2025-06-12 16:52:00,172801,2892.801,268.54304399998955,9.28314958408787,1.6125383552813746,-5.211547995006249,39.74293583596858,29817.803446799153,0.29371110884423135,54542848.335192956,454528.99687888665,18938.708203286944,9803,93
prior_2mo,Prior 2 Months Only,2025-02-12 16:52:00,2025-05-13 16:51:00,129600,2892.801,138.43353251998633,4.785449552872323,0.9931687594612145,-5.211547995006249,39.67341606792946,31045.996435102665,0.2820030481166993,40848811.59584755,453886.19102309825,18911.92462596243,7655,67
